sample-data-Car_repair_and_maintenances
name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name
CAR PAINT& BODY REPAIR'S-SEMPURNA DAYA S/B,"NO.: 49, Jln Loke Yew, 55200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",+60 12-652 2145,SDSBSOO@GMAIL.COM,3.1302471,101.7105373,https://sdsbsoo.wixsite.com/sempurnadayarepair,Malaysia,Kuala Lumpur,Kuala Lumpur,4.6,14,55200,Auto restoration services,"Car Service Stations,Auto restoration services,Car repair and maintenances,Auto body shops,Car rental agencies,Garages,Car battery stores,Auto repair shops,Car repair and maintenance services,Auto insurance agencies"
Michelin Setapak - Sianghin (KL) Sdn Bhd,"289, Jalan Pahang, Setapak, 53000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",+60 16-261 6643,customercare@sianghin.com,3.18555,101.70214,http://www.sianghin.com/,Malaysia,Kuala Lumpur,Kuala Lumpur,4.5,41,53000,Auto repair shops,"Car Service Stations,Car repair and maintenances,Tire shops,Garages,Auto repair shops"
Sunlun Auto Service MC Sdn Bhd,"No. 4E, Jalan Kampung Dato, Pekan Sibu, 96000 Sibu, Sarawak, Malaysia",+60 84-332 788,hr@sunlun.com.my,2.2933167,111.8231739,http://www.retail.sunlun.com.my/,Malaysia,Sarawak,Sibu,4.4,44,96000,Tire shops,"Auto repair shops,Car Service Stations,Car repair and maintenances,Auto parts stores,Mechanics,Tire shops,Oil change services,Car battery stores,Garages,Wheel alignment services,Tire repair shops"
"AutoMax2000 Car Wrap , PPF Wrapping And Nano Ceramic Coating Workshop","Lot 9, Jalan Danau Saujana 1, Taman Danau Kota, 53300 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",+60 16-643 7900,sales@automaxcarwrap.com.my,3.2017227,101.7159524,https://www.automaxcarwrap.com.my/,Malaysia,Kuala Lumpur,Kuala Lumpur,1,1,53300,Auto body shops,"Auto repair shops,Car washes,Car Service Stations,Car repair and maintenances,Auto body shops,Garages"
German AutoCare Kota Bharu,"Seksyen 20, Jalan Kuala Krai Lot PT467, Bandar Kota Bharu, 15100 Kota Bharu, Kelantan, Malaysia",+60 19-919 1284,info@gacautocare.com.my,6.1139233,102.2425208,http://www.gacautocare.com.my/,Malaysia,Kelantan,Kota Bharu,4.4,36,15100,Auto repair shops,"Car Service Stations,Car repair and maintenances,Auto repair shops,Repair services,Garages"
"Hyundai Seremban Accident Claim Repair, Sales & Services (Wheelex Sdn Bhd)","120A, Jalan Tuanku Antah, Bukit Rasah, 70100 Seremban, Negeri Sembilan, Malaysia",+60 6-767 3366,customercare@sianghin.com,2.7134906,101.9505047,https://sianghin.com/wheelex.html,Malaysia,Negeri Sembilan,Seremban,4.3,85,70100,Hyundai dealers,"Auto repair shops,Car Service Stations,Car repair and maintenances,Hyundai dealers,Garages,Car dealers"
Prestige Carcare Sdn Bhd,"Lot 4, Jalan Empat, Chan Sow Lin, 55200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",+60 3-9223 6363,prestige6363@gmail.com,3.120122,101.7095688,http://www.prestige2u.com.my/,Malaysia,Kuala Lumpur,Kuala Lumpur,4.6,228,55200,Auto repair shops,"Garages,Car Service Stations,Auto restoration services,Car repair and maintenances,Car repair and maintenance services,Auto repair shops"
Cardeck,"Lot 9644A, Batu 5 3/4, Jln Klang Lama, Kampung Pasir, 58200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",+60 12-214 5258,cardeckautoservice@gmail.com,3.0841312,101.6626534,http://cardeck.com.my/,Malaysia,Selangor,Petaling Jaya,4.6,60,58200,Auto repair shops,"Car Service Stations,Car repair and maintenances,Garages,Auto repair shops"
PERFECTION AUTO CAR SDN BHD(TOYO TIRES),"85, Jln Perniagaan Gemilang 1, Pusat Perniagaan Gemilang, 14000 Bukit Mertajam, Pulau Pinang, Malaysia",+60 4-530 0186,toyo@toyotires.com.my,5.3508,100.4411697,http://www.toyotires.com.my/,Malaysia,Penang,Bukit Mertajam,4.6,10,14000,Auto repair shops,"Car Service Stations,Car repair and maintenances,Garages,Auto repair shops"
SS Aircond & Servis Kereta Terengganu,"924-C, Kg. Titian Hangus,, Simpang Tokku, Jalan Kuala Berang,, 21000 Kuala Terengganu, Terengganu, Malaysia",+60 11-1932 6797,sales@tomote.com,5.3062272,103.1238212,https://www.ssaircond.com/,Malaysia,Terengganu,Kuala Terengganu,4.5,57,21000,Auto air conditioning services,"Car Service Stations,Chauffeur services,Car repair and maintenances,Garages,Auto air conditioning services,Auto repair shops"
Nanyang Auto Spray Painting Workshop,"8, Lorong Ngah Aboo, George Town, 10100 George Town, Pulau Pinang, Malaysia",+60 4-263 3968,admin@nanyangauto.com,5.4161053,100.3343142,https://nanyangauto.com.my/,Malaysia,Penang,George Town,4.5,13,10100,Auto body shops,"Car Service Stations,Car repair and maintenances,Auto body shops,Auto repair shops,Garages"
